factor	n	obs	exp	diff	d	p	ctrl	wdiff
HCFC1_GM12878	915	0.6870771999102465	0.39617375492014173	0.29090344499010484	0.17830290035296134	0.002	0.2542377344497253	0.3150267516887293
HCFC1_HepG2	745	0.5850022499400199	0.3230331426788718	0.26196910726114814	0.23749959371565707	0.0005	0.2128687730913065	0.2921924043099055
THAP11_HepG2	1168	0.8484869495510794	0.5761286059082623	0.27235834364281714	0.2909177238731447	0.001	0.21524090978269353	0.2850444409974982
ZNF143_K562	399	0.3396107031920208	0.19748533236874816	0.14212537082327262	0.16781803362689868	0.0055	0.1112416084643599	0.1701455444806715
RONIN_module_all3	338	0.303998941247022	0.15953518541052678	0.14446375583649518	0.2030213476077389	0.0015	0.10914084419279237	0.17560017623601196
