factor	n	A_tgt	A_ctrl	A_d	A_p	B_tgt	B_ctrl	B_d	B_p
HCFC1_GM12878	789	0.13496479835765246	0.10573641070473203	0.20247651101210395	0.0035	0.03327668302865284	0.008952421263901784	0.09392282783402045	0.262
HCFC1_HepG2	638	0.12993965053575798	0.09846044692681001	0.2062662570681453	0.001	0.032045532031477024	0.02270933277594538	0.035426834313005924	0.6175
THAP11_HepG2	978	0.11554632245624304	0.062295262599960786	0.37023442321338523	0.0005	0.03694950951788111	0.009504419191919189	0.10348922032112877	0.5385
ZNF143_K562	342	0.0750174039454877	0.04759978066634726	0.20869576622641187	0.001	0.03183058555966919	0.010475024997748144	0.0799576526733723	0.3805
RONIN_module_all3	294	0.07725743999662697	0.05061624828525693	0.2111997638897895	0.0015	0.03512070543756363	0.020864005851293294	0.05316144481342176	0.584
